day_of_week,platform,theme,query_count,platform_period_total,avg_query_share_in_platform_weekday
Monday,desktop,"Здоровье, питание и рецепты",180,73592,0.0024
Tuesday,desktop,"Здоровье, питание и рецепты",198,73592,0.0027
Wednesday,desktop,"Здоровье, питание и рецепты",192,73592,0.0026
Thursday,desktop,"Здоровье, питание и рецепты",200,73592,0.0027
Friday,desktop,"Здоровье, питание и рецепты",187,73592,0.0025
Saturday,desktop,"Здоровье, питание и рецепты",181,73592,0.0025
Sunday,desktop,"Здоровье, питание и рецепты",199,73592,0.0027
Monday,touch,"Здоровье, питание и рецепты",879,171298,0.0051
Tuesday,touch,"Здоровье, питание и рецепты",879,171298,0.0051
Wednesday,touch,"Здоровье, питание и рецепты",902,171298,0.0053
Thursday,touch,"Здоровье, питание и рецепты",913,171298,0.0053
Friday,touch,"Здоровье, питание и рецепты",875,171298,0.0051
Saturday,touch,"Здоровье, питание и рецепты",885,171298,0.0052
Sunday,touch,"Здоровье, питание и рецепты",921,171298,0.0054
Monday,desktop,Карты и навигация,664,73592,0.009
Tuesday,desktop,Карты и навигация,694,73592,0.0094
Wednesday,desktop,Карты и навигация,585,73592,0.0079
Thursday,desktop,Карты и навигация,598,73592,0.0081
Friday,desktop,Карты и навигация,519,73592,0.0071
Saturday,desktop,Карты и навигация,320,73592,0.0043
Sunday,desktop,Карты и навигация,413,73592,0.0056
Monday,touch,Карты и навигация,1472,171298,0.0086
Tuesday,touch,Карты и навигация,1460,171298,0.0085
Wednesday,touch,Карты и навигация,1409,171298,0.0082
Thursday,touch,Карты и навигация,1506,171298,0.0088
Friday,touch,Карты и навигация,1519,171298,0.0089
Saturday,touch,Карты и навигация,1302,171298,0.0076
Sunday,touch,Карты и навигация,1295,171298,0.0076
Monday,desktop,"Медиа, фото и развлечения",3747,73592,0.0509
Tuesday,desktop,"Медиа, фото и развлечения",3825,73592,0.052
Wednesday,desktop,"Медиа, фото и развлечения",3434,73592,0.0467
Thursday,desktop,"Медиа, фото и развлечения",3792,73592,0.0515
Friday,desktop,"Медиа, фото и развлечения",4016,73592,0.0546
Saturday,desktop,"Медиа, фото и развлечения",3300,73592,0.0448
Sunday,desktop,"Медиа, фото и развлечения",3382,73592,0.046
Monday,touch,"Медиа, фото и развлечения",5599,171298,0.0327
Tuesday,touch,"Медиа, фото и развлечения",5337,171298,0.0312
Wednesday,touch,"Медиа, фото и развлечения",5065,171298,0.0296
Thursday,touch,"Медиа, фото и развлечения",5261,171298,0.0307
Friday,touch,"Медиа, фото и развлечения",6164,171298,0.036
Saturday,touch,"Медиа, фото и развлечения",5284,171298,0.0308
Sunday,touch,"Медиа, фото и развлечения",5391,171298,0.0315
Monday,desktop,Новости,640,73592,0.0087
Tuesday,desktop,Новости,288,73592,0.0039
Wednesday,desktop,Новости,63,73592,0.0009
Thursday,desktop,Новости,66,73592,0.0009
Friday,desktop,Новости,69,73592,0.0009
Saturday,desktop,Новости,63,73592,0.0009
Sunday,desktop,Новости,69,73592,0.0009
Monday,touch,Новости,979,171298,0.0057
Tuesday,touch,Новости,636,171298,0.0037
Wednesday,touch,Новости,375,171298,0.0022
Thursday,touch,Новости,421,171298,0.0025
Friday,touch,Новости,393,171298,0.0023
Saturday,touch,Новости,404,171298,0.0024
Sunday,touch,Новости,360,171298,0.0021
Monday,desktop,Поздравления и праздники,886,73592,0.012
Tuesday,desktop,Поздравления и праздники,900,73592,0.0122
Wednesday,desktop,Поздравления и праздники,1810,73592,0.0246
Thursday,desktop,Поздравления и праздники,868,73592,0.0118
Friday,desktop,Поздравления и праздники,740,73592,0.0101
Saturday,desktop,Поздравления и праздники,489,73592,0.0066
Sunday,desktop,Поздравления и праздники,595,73592,0.0081
Monday,touch,Поздравления и праздники,6148,171298,0.0359
Tuesday,touch,Поздравления и праздники,7991,171298,0.0466
Wednesday,touch,Поздравления и праздники,13364,171298,0.078
Thursday,touch,Поздравления и праздники,6321,171298,0.0369
Friday,touch,Поздравления и праздники,5988,171298,0.035
Saturday,touch,Поздравления и праздники,5551,171298,0.0324
Sunday,touch,Поздравления и праздники,5762,171298,0.0336
Monday,desktop,"Покупки, стиль и бренды",438,73592,0.006
Tuesday,desktop,"Покупки, стиль и бренды",538,73592,0.0073
Wednesday,desktop,"Покупки, стиль и бренды",611,73592,0.0083
Thursday,desktop,"Покупки, стиль и бренды",463,73592,0.0063
Friday,desktop,"Покупки, стиль и бренды",482,73592,0.0065
Saturday,desktop,"Покупки, стиль и бренды",335,73592,0.0046
Sunday,desktop,"Покупки, стиль и бренды",353,73592,0.0048
Monday,touch,"Покупки, стиль и бренды",1586,171298,0.0093
Tuesday,touch,"Покупки, стиль и бренды",1984,171298,0.0116
Wednesday,touch,"Покупки, стиль и бренды",2239,171298,0.0131
Thursday,touch,"Покупки, стиль и бренды",1809,171298,0.0106
Friday,touch,"Покупки, стиль и бренды",1695,171298,0.0099
Saturday,touch,"Покупки, стиль и бренды",1680,171298,0.0098
Sunday,touch,"Покупки, стиль и бренды",1687,171298,0.0098
Monday,desktop,Сервисы,592,73592,0.008
Tuesday,desktop,Сервисы,553,73592,0.0075
Wednesday,desktop,Сервисы,544,73592,0.0074
Thursday,desktop,Сервисы,587,73592,0.008
Friday,desktop,Сервисы,524,73592,0.0071
Saturday,desktop,Сервисы,409,73592,0.0056
Sunday,desktop,Сервисы,477,73592,0.0065
Monday,touch,Сервисы,553,171298,0.0032
Tuesday,touch,Сервисы,534,171298,0.0031
Wednesday,touch,Сервисы,528,171298,0.0031
Thursday,touch,Сервисы,450,171298,0.0026
Friday,touch,Сервисы,448,171298,0.0026
Saturday,touch,Сервисы,479,171298,0.0028
Sunday,touch,Сервисы,502,171298,0.0029
Monday,desktop,Справка и Образование,4709,73592,0.064
Tuesday,desktop,Справка и Образование,4899,73592,0.0666
Wednesday,desktop,Справка и Образование,4239,73592,0.0576
Thursday,desktop,Справка и Образование,4316,73592,0.0586
Friday,desktop,Справка и Образование,3672,73592,0.0499
Saturday,desktop,Справка и Образование,2533,73592,0.0344
Sunday,desktop,Справка и Образование,3712,73592,0.0504
Monday,touch,Справка и Образование,6878,171298,0.0402
Tuesday,touch,Справка и Образование,6626,171298,0.0387
Wednesday,touch,Справка и Образование,6154,171298,0.0359
Thursday,touch,Справка и Образование,6209,171298,0.0362
Friday,touch,Справка и Образование,5840,171298,0.0341
Saturday,touch,Справка и Образование,4863,171298,0.0284
Sunday,touch,Справка и Образование,5764,171298,0.0336
Monday,desktop,Чувствительные запросы,63,73592,0.0009
Tuesday,desktop,Чувствительные запросы,78,73592,0.0011
Wednesday,desktop,Чувствительные запросы,53,73592,0.0007
Thursday,desktop,Чувствительные запросы,58,73592,0.0008
Friday,desktop,Чувствительные запросы,45,73592,0.0006
Saturday,desktop,Чувствительные запросы,62,73592,0.0008
Sunday,desktop,Чувствительные запросы,75,73592,0.001
Monday,touch,Чувствительные запросы,506,171298,0.003
Tuesday,touch,Чувствительные запросы,543,171298,0.0032
Wednesday,touch,Чувствительные запросы,489,171298,0.0029
Thursday,touch,Чувствительные запросы,512,171298,0.003
Friday,touch,Чувствительные запросы,558,171298,0.0033
Saturday,touch,Чувствительные запросы,580,171298,0.0034
Sunday,touch,Чувствительные запросы,591,171298,0.0035
